"","employees","salaries_2017","salaries_2018","change","got_raise"
"65","Employee 65",48794.1789021716,45021.1960193701,-3772.98288280144,FALSE
"66","Employee 66",40588.5072611272,46597.0729175024,6008.56565637514,TRUE
"67","Employee 67",43377.2113872692,46700.2381186467,3323.02673137747,TRUE
"68","Employee 68",48894.0261118114,57260.5745191686,8366.54840735719,TRUE
"69","Employee 69",47695.6511638127,47186.378352344,-509.272811468691,FALSE
"70","Employee 70",45525.4723946564,46686.0347264446,1160.56233178824,TRUE
"71","Employee 71",40024.2941942997,40333.0888180062,308.79462370649,TRUE
"72","Employee 72",41068.6864494346,38259.9426165689,-2808.74383286573,FALSE
"73","Employee 73",47292.3854412511,47360.7639514375,68.3785101864487,TRUE
"74","Employee 74",46278.3501064405,50965.9030544572,4687.55294801667,TRUE
"75","Employee 75",46781.3063622452,42882.50388694,-3898.80247530527,FALSE
"76","Employee 76",49974.4128505699,53744.0021010116,3769.58925044164,TRUE
"77","Employee 77",43307.5469080359,39013.2755367085,-4294.27137132734,FALSE
"78","Employee 78",48361.6608264856,51124.0246251691,2762.36379868351,TRUE
"79","Employee 79",48317.8729284555,55300.6238071248,6982.75087866932,TRUE
"80","Employee 80",40160.1870334707,37790.501936106,-2369.68509736471,FALSE
"81","Employee 81",46895.2279328369,49505.057784263,2609.82985142618,TRUE
"82","Employee 82",49335.52501956,45371.106575476,-3964.418444084,FALSE
"83","Employee 83",47611.9614206254,43170.5519172829,-4441.40950334258,FALSE
"84","Employee 84",42181.7461843602,49365.6561907846,7183.91000642441,TRUE
"85","Employee 85",43204.3531071395,43349.2058177944,144.852710654959,TRUE
"86","Employee 86",42060.4656310752,46120.1639531646,4059.69832208939,TRUE
"87","Employee 87",41035.9115363099,46167.8104894236,5131.8989531137,TRUE
"88","Employee 88",44475.6700564176,44320.2892609406,-155.380795476958,FALSE
"89","Employee 89",47859.0414603241,52261.2786258105,4402.23716548644,TRUE
"90","Employee 90",42237.3216622509,49182.8822286334,6945.56056638248,TRUE
"91","Employee 91",46742.2548495233,43699.277814012,-3042.97703551129,FALSE
"92","Employee 92",48164.8356770165,54936.5532526281,6771.71757561155,TRUE
"93","Employee 93",43876.8115337007,43249.9587221537,-626.852811546996,FALSE
"94","Employee 94",40641.9308041222,49921.2481372524,9279.31733313017,TRUE
"95","Employee 95",47381.5700784326,50077.4066557642,2695.83657733165,TRUE
"96","Employee 96",48205.4017065093,52869.7700379416,4664.36833143234,TRUE
"97","Employee 97",40017.4320070073,36876.8721248489,-3140.55988215841,FALSE
"98","Employee 98",43221.0990064777,48657.5105949305,5436.41158845276,TRUE
"99","Employee 99",46929.7063094564,52840.5368619133,5910.8305524569,TRUE
"100","Employee 100",44252.3629125208,48043.5988574754,3791.23594495468,TRUE
